neutron_energy,cross_section
1.00E-05,1160.529
1.06E-05,1125.888
1.13E-05,1094.175
1.19E-05,1065.001
1.25E-05,1038.043
1.38E-05,989.7514
1.50E-05,947.6304
1.63E-05,910.4688
1.75E-05,877.3641
1.88E-05,847.6282
2.00E-05,820.726
2.19E-05,784.7835
2.38E-05,753.187
2.56E-05,725.1258
2.75E-05,699.9865
2.94E-05,677.2949
3.13E-05,656.678
3.31E-05,637.8378
3.50E-05,620.533
3.88E-05,589.7724
4.25E-05,563.18
4.63E-05,539.8925
5.00E-05,519.2776
5.31E-05,503.7939
5.63E-05,489.6198
5.94E-05,476.5805
6.25E-05,464.5323
6.88E-05,442.9506
7.50E-05,424.1277
8.13E-05,407.5222
8.75E-05,392.7305
9.38E-05,379.4448
0.0001,367.4261
0.00010625,356.4849
0.0001125,346.4695
0.00011875,337.2563
0.000125,328.7438
0.0001375,313.4963
0.00015,300.1991
0.0001625,288.4693
0.000175,278.0215
0.0001875,268.6384
0.0002,260.1509
0.00021875,248.8129
0.0002375,238.8483
0.00025625,230.0004
0.000275,222.0756
0.00029375,214.9239
0.0003125,208.4276
0.00033125,202.4924
0.00035,197.0421
0.0003875,187.357
0.000425,178.988
0.0004625,171.6623
0.0005,165.1802
0.00053125,160.3135
0.0005625,155.8601
0.00059375,151.7648
0.000625,147.9821
0.0006875,141.2099
0.00075,135.3078
0.0008125,130.1048
0.000875,125.4735
0.0009375,121.3168
0.001,117.5592
0.0010625,114.1411
0.001125,111.0144
0.0011875,108.1403
0.00125,105.4867
0.001375,100.7388
0.0015,96.60421
0.001625,92.96228
0.00175,89.72313
0.001875,86.81826
0.002,84.19442
0.0021875,80.69579
0.002375,77.6275
0.0025625,74.90903
0.00275,72.47939
0.0029375,70.29152
0.003125,68.30839
0.0033125,66.50045
0.0035,64.84375
0.003875,61.90911
0.00425,59.384
0.004625,57.18301
0.005,55.24369
0.0053125,53.79327
0.005625,52.47062
0.0059375,51.25852
0.00625,50.14284
0.006875,48.15555
0.0075,46.43539
0.008125,44.92923
0.00875,43.59757
0.009375,42.41034
0.01,41.34421
0.010625,40.38074
0.01125,39.50517
0.011875,38.70553
0.0125,37.97198
0.01375,36.67182
0.015,35.55378
0.01625,34.5811
0.0175,33.7265
0.01875,32.96926
0.02,32.29332
0.021325,31.65158
0.02265,31.07506
0.023975,30.5542
0.0253,30.08122
0.02684375,29.58216
0.0283875,29.1313
0.031475,28.34865
0.0345625,27.69267
0.03765,27.13498
0.0407375,26.65514
0.043825,26.23803
0.0469125,25.87221
0.05,25.54885
0.053125,25.25775
0.05625,24.99739
0.059375,24.76321
0.0625,24.55149
0.06875,24.18379
0.075,23.8756
0.08125,23.6137
0.0875,23.38849
0.09375,23.19284
0.1,23.02133
0.10625,22.86979
0.1125,22.73495
0.11875,22.6142
0.125,22.50547
0.1375,22.31754
0.15,22.16085
0.1625,22.02822
0.175,21.91452
0.1875,21.81596
0.2,21.72972
0.21875,21.61884
0.2375,21.52546
0.25625,21.44574
0.275,21.3769
0.29375,21.31684
0.3125,21.26399
0.33125,21.21712
0.35,21.17527
0.3875,21.10373
0.425,21.04481
0.5,20.95348
0.625,20.84997
0.75,20.78096
0.875,20.73166
1,20.69468
1.25,20.6429
1.5,20.60836
1.75,20.58369
2,20.56517
2.375,20.54469
2.75,20.52979
3.125,20.51845
3.5,20.50953
4.25,20.49638
5,20.48715
6.25,20.47663
7.5,20.46956
8.75,20.46446
10,20.46059
12.5,20.45509
15,20.4513
17.5,20.4485
20,20.44632
23.75,20.44377
27.5,20.44178
31.25,20.44015
35,20.43875
42.5,20.43644
50,20.43452
62.5,20.4318
75,20.42943
87.5,20.42726
100,20.42521
125,20.42133
150,20.41762
175,20.41402
200,20.41047
237.5,20.40525
275,20.40008
312.5,20.39495
350,20.38984
425,20.37967
500,20.36954
625,20.35279
750,20.33609
875,20.31941
1000,20.30273
1250,20.26978
1500,20.23684
1750,20.20391
2000,20.171
2250,20.13856
2500,20.10613
2750,20.0737
3000,20.04129
3250,20.00933
3500,19.97738
4000,19.9135
4500,19.85052
5000,19.78755
5500,19.72549
6000,19.66344
6500,19.60225
7000,19.54109
8000,19.42049
9000,19.30157
10000,19.18434
11000,19.06949
12000,18.9547
13000,18.84297
14000,18.7313
16000,18.5139
18000,18.30224
20000,18.09611
22000,17.89529
24000,17.69958
26000,17.50878
28000,17.32271
30000,17.14122
32500,16.92369
35000,16.7063
40000,16.29643
45000,15.90949
50000,15.54361
55000,15.19708
60000,14.86843
65000,14.55627
70000,14.25939
75000,13.97668
80000,13.70714
85000,13.44988
90000,13.20404
95000,12.96888
100000,12.74376
110000,12.32097
120000,11.9312
130000,11.57069
140000,11.23625
150000,10.92507
160000,10.6348
170000,10.36335
180000,10.10892
190000,9.869927
200000,9.645003
220000,9.232491
240000,8.863091
260000,8.530247
280000,8.228652
300000,7.953982
320000,7.702678
340000,7.471782
360000,7.258816
380000,7.061693
400000,6.878633
420000,6.708119
440000,6.548845
460000,6.399678
480000,6.259637
500000,6.12788
550000,5.829897
600000,5.569523
650000,5.339647
700000,5.134848
750000,4.950931
800000,4.7846
850000,4.633225
900000,4.494687
950000,4.367255
1000000,4.249507
1100000,4.038485
1200000,3.854198
1300000,3.691292
1400000,3.54579
1500000,3.414676
1600000,3.295621
1700000,3.186791
1800000,3.086726
1900000,2.994246
2000000,2.908388
2200000,2.753447
2400000,2.616966
2600000,2.495365
2800000,2.385998
3000000,2.286858
3200000,2.196384
3400000,2.113344
3600000,2.036748
3800000,1.965786
4000000,1.899792
4200000,1.838208
4400000,1.780565
4600000,1.726461
4800000,1.675555
5000000,1.627547
5200000,1.58218
5400000,1.539228
5600000,1.49849
5800000,1.459791
6000000,1.422973
6200000,1.387895
6400000,1.354432
6600000,1.322471
6800000,1.291908
7000000,1.262652
7500000,1.194691
8000000,1.133258
8500000,1.07744
9000000,1.026496
9500000,0.979812
10000000,0.9368747
10500000,0.8972527
11000000,0.8605796
11500000,0.8265415
12000000,0.7948682
12500000,0.7653255
13000000,0.7377093
13500000,0.7118406
14000000,0.6875623
14500000,0.6647352
15000000,0.6432359
15500000,0.6229545
16000000,0.6037926
16500000,0.5856622
17000000,0.5684839
17500000,0.5521863
18000000,0.5367046
18500000,0.5219803
19000000,0.5079599
19500000,0.4945948
20000000,0.4818408
